content,meta,ort,region,years,split_nr
Utbildningsförvaltningen Avdelningen för stöd kring lärande och elevhälsa   Skolbiblioteksplan för skolor och förskolor i Stockholms stad 20212024  Skolbiblioteksplanen är ett styr och stöddokument som har tagits fram av utbildningsnämnden på uppdrag av kommunfullmäktige.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 0}",skolbiblioteksplan,Stockholm,2020–2023,0
"Skolbiblioteksplanen verkar för ökad likvärdighet vad gäller tillgång till bibliotek i förskolan, i grund och gymnasieskolan samt i grund och gymnasiesärskolan.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 1}",skolbiblioteksplan,Stockholm,2020–2023,1
Uppföljning av skolbiblioteksplanen sker i det ordinarie planerings och uppföljningsarbetet på respektive nivå.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 2}",skolbiblioteksplan,Stockholm,2020–2023,2
(Faktaruta)  Skolbibliotekens uppdrag bestäms av skollagen och läroplanerna.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 3}",skolbiblioteksplan,Stockholm,2020–2023,3
"Skolbiblioteket är, liksom folkbiblioteket, en del av det allmänna biblioteksväsendet och regleras av bibliotekslagen.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 4}",skolbiblioteksplan,Stockholm,2020–2023,4
Folkbibliotekens uppdrag för barn och unga beskrivs närmare i stadens biblioteksplan och prioriterar insatser för förskolan och barns fritidsläsning.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 5}",skolbiblioteksplan,Stockholm,2020–2023,5
"(Faktaruta)  Övergripande målsättningar Litteratur är en källa till glädje, samtal och reflektion.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 6}",skolbiblioteksplan,Stockholm,2020–2023,6
"Att kunna läsa, skriva, göra sin röst hörd och ha tillgång till information är demokratiska rättigheter.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 7}",skolbiblioteksplan,Stockholm,2020–2023,7
Barn och unga behöver kunna omvandla information till kunskap för att bli delaktiga i ett demokratiskt samhälle.,"{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 8}",skolbiblioteksplan,Stockholm,2020–2023,8
"Utbildningsförvaltningen Avdelningen för stöd kring lärande och elevhälsa, Medioteket Handläggare: Jenny Karlsson jenny.m.karlsson@edu.stockholm.se Maria Ronnås maria.ronnas@edu.stockholm.se Medioteket  Biblioteken främjar läslust samt breddar och fördjupar undervisningen utifrån särskilda områden eller teman.","{'ort': 'skolbiblioteksplan', 'region': 'Stockholm', 'years': '2020–2023', '_split_id': 9}",skolbiblioteksplan,Stockholm,2020–2023,9
